record_type,product_id,brand,name,code,product_quantity,street_price,suggested_price,price_novat,plain_description,weight,picture 1,picture 2,picture 3,madein,Firme,heel,lenght,mainmaterial,Categorie,Produzione,Sottocategorie,Promo,Discount Percentage,season,color,Warehouse2,bicolors,Genere,productname,model_id,barcode,model_size,model_quantity
MODEL,93973," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",269760,8055197053409,EU 35,12
MODEL,93973," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",269761,8055197053416,EU 36,13
MODEL,93973," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",269762,8055197053423,EU 37,26
MODEL,93973," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",269763,8055197053430,EU 38,28
MODEL,93973," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",269764,8055197053447,EU 39,12
MODEL,93973," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",269765,8055197053454,EU 40,7
PRODUCT,93971,U.S. Polo Assn.,SADIE4170W7,SADIE4170W7_S2_TAU,1,85.00,63.00,31.50,,2.50,https://www.brandsdistribution.com/prod/stock_product_image_93971_809043711.jpg,https://www.brandsdistribution.com/prod/stock_product_image_93971_1734349491.jpg,https://www.brandsdistribution.com/prod/stock_product_image_93971_1863452798.jpg,Vietnam,U.S. Polo Assn.,8," ",suede,shoes," ",Stivaletto," "," ",fw,brown," ",saddlebrown,women," "," "," "," "," "
MODEL,93971," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",269752,8055197048528,EU 40,1
PRODUCT,93970,U.S. Polo Assn.,SADIE4170W7,SADIE4170W7_S2_DKBR,38,85.00,63.00,31.50,,2.50,https://www.brandsdistribution.com/prod/stock_product_image_93970_1600653975.jpg,https://www.brandsdistribution.com/prod/stock_product_image_93970_1309217281.jpg,https://www.brandsdistribution.com/prod/stock_product_image_93970_1695505177.jpg,Vietnam,U.S. Polo Assn.,8," ",suede,shoes," ",Stivaletto," "," ",fw,brown," ",sienna,women," "," "," "," "," "
MODEL,93970," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",269745,8055197048375,EU 39,11
MODEL,93970," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",269746,8055197048382,EU 40,17
MODEL,93970," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",269747,8055197048399,EU 41,10
PRODUCT,93969,U.S. Polo Assn.,SADIE4157W8,SADIE4157W8_Y1_DKBR,23,89.00,65.00,32.50,,4.50,https://www.brandsdistribution.com/prod/stock_product_image_93969_2056799718.jpg,https://www.brandsdistribution.com/prod/stock_product_image_93969_1200515119.jpg,https://www.brandsdistribution.com/prod/stock_product_image_93969_2095644033.jpg,Vietnam,U.S. Polo Assn.,9," "," ",shoes," ",Stivale," "," ",fw,brown," ",saddlebrown,women," "," "," "," "," "
MODEL,93969," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",269739,8055197048795,EU 39,8
MODEL,93969," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",269740,8055197048801,EU 40,14
MODEL,93969," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",269741,8055197048818,EU 41,1
PRODUCT,93968,U.S. Polo Assn.,SADIE4156W8,SADIE4156W8_Y1_DKBR,23,79.00,58.00,29.00,,2.00,https://www.brandsdistribution.com/prod/stock_product_image_93968_1634881303.jpg,https://www.brandsdistribution.com/prod/stock_product_image_93968_1240898429.jpg,https://www.brandsdistribution.com/prod/stock_product_image_93968_1865964264.jpg,Vietnam,U.S. Polo Assn.,9," "," ",shoes," ",Stivaletto," "," ",fw,brown," ",saddlebrown,women," "," "," "," "," "
MODEL,93968," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",269733,8055197048238,EU 39,3
MODEL,93968," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",269734,8055197048245,EU 40,12
MODEL,93968," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",269735,8055197048252,EU 41,8
PRODUCT,93967,U.S. Polo Assn.,SADIE4156W8,SADIE4156W8_Y1_BLK,1,79.00,58.00,29.00,,2.00,https://www.brandsdistribution.com/prod/stock_product_image_93967_28772941.jpg,https://www.brandsdistribution.com/prod/stock_product_image_93967_336572062.jpg,https://www.brandsdistribution.com/prod/stock_product_image_93967_748419837.jpg,Vietnam,U.S. Polo Assn.,9," "," ",shoes," ",Stivaletto," "," ",fw,black," ",black,women," "," "," "," "," "
MODEL,93967," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",269729,8055197048184,EU 41,1
PRODUCT,93953,U.S. Polo Assn.,YGOR4082W8,YGOR4082W8_Y1_GREY,108,79.00,51.80,25.90,,2.00,https://www.brandsdistribution.com/prod/stock_product_image_93953_1495679291.jpg,https://www.brandsdistribution.com/prod/stock_product_image_93953_313730670.jpg,https://www.brandsdistribution.com/prod/stock_product_image_93953_706174548.jpg,China,U.S. Polo Assn.," "," "," ",shoes," ",Sneakers," "," ",fw,grey," ",gray,men," "," "," "," "," "
MODEL,93953," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",269639,8055197066386,EU 40,8
MODEL,93953," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",269640,8055197066393,EU 41,19
MODEL,93953," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",269641,8055197066409,EU 42,27
MODEL,93953," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",269642,8055197066416,EU 43,33
MODEL,93953," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",269643,8055197066423,EU 44,14
MODEL,93953," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",269644,8055197066430,EU 45,7
PRODUCT,93951,U.S. Polo Assn.,YGOR4082W8,YGOR4082W8_Y1_BRW,31,79.00,51.80,25.90,,2.00,https://www.brandsdistribution.com/prod/stock_product_image_93951_1157549124.jpg,https://www.brandsdistribution.com/prod/stock_product_image_93951_2045549586.jpg,https://www.brandsdistribution.com/prod/stock_product_image_93951_1541479734.jpg,China,U.S. Polo Assn.," "," "," ",shoes," ",Sneakers," "," ",fw,brown," ","tan,saddlebrown",men," "," "," "," "," "
MODEL,93951," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",269628,8055197066478,EU 41,10
MODEL,93951," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",269629,8055197066485,EU 42,9
MODEL,93951," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",269630,8055197066492,EU 43,4
MODEL,93951," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",269631,8055197066508,EU 44,8
PRODUCT,93950,U.S. Polo Assn.,YGOR4082W8,YGOR4082W8_Y1_BLK,80,79.00,51.80,25.90,,2.00,https://www.brandsdistribution.com/prod/stock_product_image_93950_1985898182.jpg,https://www.brandsdistribution.com/prod/stock_product_image_93950_1214861386.jpg,https://www.brandsdistribution.com/prod/stock_product_image_93950_474235078.jpg,China,U.S. Polo Assn.," "," "," ",shoes," ",Sneakers," "," ",fw,black," ","black,darkgray",men," "," "," "," "," "
MODEL,93950," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",269621,8055197066317,EU 41,1
MODEL,93950," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",269622,8055197066324,EU 42,6
MODEL,93950," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",269623,8055197066331,EU 43,23
MODEL,93950," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",269624,8055197066348,EU 44,28
MODEL,93950," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",269625,8055197066355,EU 45,18
MODEL,93950," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",269626,8055197066362,EU 46,4
PRODUCT,93949,U.S. Polo Assn.,YGOR4081W8,YGOR4081W8_Y1_DKGR,59,89.00,64.00,32.00,,2.50,https://www.brandsdistribution.com/prod/stock_product_image_93949_1069008085.jpg,https://www.brandsdistribution.com/prod/stock_product_image_93949_119096519.jpg,https://www.brandsdistribution.com/prod/stock_product_image_93949_1202549421.jpg,China,U.S. Polo Assn.," "," "," ",shoes," ",Stringata," "," ",fw,grey," ",gray,men," "," "," "," "," "
MODEL,93949," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",269615,8055197066065,EU 40,4
MODEL,93949," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",269616,8055197066072,EU 41,7
MODEL,93949," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",269617,8055197066089,EU 42,11
MODEL,93949," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",269618,8055197066096,EU 43,20
MODEL,93949," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",269619,8055197066102,EU 44,11
MODEL,93949," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",269620,8055197066119,EU 45,6
PRODUCT,93946,U.S. Polo Assn.,YAGI4079W8,YAGI4079W8_S1_TAU,8,99.00,67.00,33.50,,3.00,https://www.brandsdistribution.com/prod/stock_product_image_93946_1628606120.jpg,https://www.brandsdistribution.com/prod/stock_product_image_93946_456660970.jpg,https://www.brandsdistribution.com/prod/stock_product_image_93946_852952337.jpg,Vietnam,U.S. Polo Assn.,4," "," ",shoes," ",Stringata," "," ",fw,brown," ",tan,men," "," "," "," "," "
MODEL,93946," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",269600,8055197067024,EU 44,6
MODEL,93946," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",269601,8055197067031,EU 45,2
PRODUCT,93941,U.S. Polo Assn.,WOUCK7108W8,WOUCK7108W8_Y1_GREY,35,75.00,50.00,25.00,,2.00,https://www.brandsdistribution.com/prod/stock_product_image_93941_1515563640.jpg,https://www.brandsdistribution.com/prod/stock_product_image_93941_813781647.jpg,https://www.brandsdistribution.com/prod/stock_product_image_93941_1936078864.jpg,China,U.S. Polo Assn.," "," "," ",shoes," ",Sneakers," "," ",fw,grey," ",gray,men," "," "," "," "," "
MODEL,93941," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",269566,8055197065563,EU 43,5
MODEL,93941," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",269567,8055197065570,EU 44,15
MODEL,93941," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",269568,8055197065587,EU 45,8
MODEL,93941," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",269569,8055197065594,EU 46,7
PRODUCT,93940,U.S. Polo Assn.,WOUCK7108W8,WOUCK7108W8_Y1_DKBR,56,75.00,50.00,25.00,,2.00,https://www.brandsdistribution.com/prod/stock_product_image_93940_1214245130.jpg,https://www.brandsdistribution.com/prod/stock_product_image_93940_1909546514.jpg,https://www.brandsdistribution.com/prod/stock_product_image_93940_1996054895.jpg,China,U.S. Polo Assn.," "," "," ",shoes," ",Sneakers," "," ",fw,brown," ",saddlebrown,men," "," "," "," "," "
MODEL,93940," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",269558,8055197065617,EU 40,4
MODEL,93940," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",269559,8055197065624,EU 41,9
MODEL,93940," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",269560,8055197065631,EU 42,13
MODEL,93940," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",269561,8055197065648,EU 43,17
MODEL,93940," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",269562,8055197065655,EU 44,10
MODEL,93940," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",269563,8055197065662,EU 45,3
PRODUCT,93939,U.S. Polo Assn.,WOUCK7108W8,WOUCK7108W8_Y1_DKBL,23,75.00,56.00,28.00,,2.00,https://www.brandsdistribution.com/prod/stock_product_image_93939_551307451.jpg,https://www.brandsdistribution.com/prod/stock_product_image_93939_1642455332.jpg,https://www.brandsdistribution.com/prod/stock_product_image_93939_1472102339.jpg,China,U.S. Polo Assn.," "," "," ",shoes," ",Sneakers," "," ",fw,blue," ",navy,men," "," "," "," "," "
MODEL,93939," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",269554,8055197065488,EU 43,3
MODEL,93939," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",269555,8055197065495,EU 44,15
